"Affected Versions","Created","Fixed Version","Key","Project"
"10,18","2011-01-20T23:43:52","21","OPENJPA-1928","OpenJPA"
"","2011-01-14T21:52:32","20","OPENJPA-1923","OpenJPA"
"18,20,22","2011-01-06T14:11:24","20","OPENJPA-1918","OpenJPA"
"17,18,20","2011-01-03T19:48:09","20","OPENJPA-1912","OpenJPA"
"13,18,19,20,22","2011-01-03T18:51:17","20","OPENJPA-1911","OpenJPA"
"18,20,22","2011-01-02T16:51:28","20","OPENJPA-1910","OpenJPA"
"17,18,20","2010-12-31T12:50:58","20","OPENJPA-1909","OpenJPA"
"8,10,13,17,18","2010-12-10T21:37:42","20","OPENJPA-1905","OpenJPA"
"18","2010-12-06T19:05:34","22","OPENJPA-1903","OpenJPA"
"","2010-11-30T19:03:25","20","OPENJPA-1902","OpenJPA"
"17,18","2010-11-30T16:29:30","22","OPENJPA-1901","OpenJPA"
"18,20,22","2010-11-30T09:20:13","20","OPENJPA-1900","OpenJPA"
"18","2010-11-29T16:37:32","20","OPENJPA-1898","OpenJPA"
"18","2010-11-23T17:29:49","20","OPENJPA-1897","OpenJPA"
"18,20,22","2010-11-23T16:32:43","20","OPENJPA-1896","OpenJPA"
"18","2010-11-22T16:33:50","20","OPENJPA-1893","OpenJPA"
"17,20","2010-11-19T09:09:47","20","OPENJPA-1892","OpenJPA"
"18","2010-11-17T20:57:25","20","OPENJPA-1890","OpenJPA"
"20","2010-11-12T18:48:36","21","OPENJPA-1884","OpenJPA"
"18","2010-11-08T17:19:08","20","OPENJPA-1877","OpenJPA"
"13,17,18","2010-11-05T14:30:22","20","OPENJPA-1874","OpenJPA"
"17,18","2010-11-04T19:57:14","22","OPENJPA-1873","OpenJPA"
"","2010-11-03T16:01:39","20","OPENJPA-1870","OpenJPA"
"18,20","2010-11-01T20:04:37","20","OPENJPA-1866","OpenJPA"
"17,20,22","2010-10-26T19:32:38","20","OPENJPA-1856","OpenJPA"
"17,18","2010-10-24T10:27:20","20","OPENJPA-1853","OpenJPA"
"18","2010-10-20T10:27:48","21","OPENJPA-1845","OpenJPA"
"18","2010-10-15T22:17:50","20","OPENJPA-1837","OpenJPA"
"17","2010-10-12T19:13:14","20","OPENJPA-1831","OpenJPA"
"17","2010-10-11T18:05:46","20","OPENJPA-1830","OpenJPA"
"18","2010-09-30T09:57:24","26","OPENJPA-1819","OpenJPA"
"17","2010-09-29T10:39:37","20","OPENJPA-1818","OpenJPA"
"13,20","2010-09-24T18:15:08","20","OPENJPA-1814","OpenJPA"
"17","2010-09-22T19:54:20","20","OPENJPA-1811","OpenJPA"
"18,20","2010-09-21T16:41:47","20","OPENJPA-1810","OpenJPA"
"17,18,20","2010-09-21T16:17:04","20","OPENJPA-1809","OpenJPA"
"18","2010-09-18T19:54:09","20","OPENJPA-1804","OpenJPA"
"18,20","2010-09-16T21:11:56","20","OPENJPA-1801","OpenJPA"
"17","2010-09-16T19:36:03","20","OPENJPA-1800","OpenJPA"
"17","2010-09-15T09:07:35","26","OPENJPA-1794","OpenJPA"
"18","2010-09-13T08:30:21","20","OPENJPA-1790","OpenJPA"
"17,18","2010-09-10T17:23:17","20","OPENJPA-1788","OpenJPA"
"18,20,22","2010-09-10T16:23:51","21","OPENJPA-1787","OpenJPA"
"18","2010-09-08T13:31:29","20","OPENJPA-1784","OpenJPA"
"17,20","2010-08-19T14:31:33","18","OPENJPA-1770","OpenJPA"
"17,20","2010-08-18T21:22:42","18","OPENJPA-1769","OpenJPA"
"17,20","2010-08-13T19:48:39","21","OPENJPA-1768","OpenJPA"
"17,20","2010-08-12T18:23:20","20","OPENJPA-1765","OpenJPA"
"18,20","2010-08-09T19:42:31","20","OPENJPA-1762","OpenJPA"
"17,20","2010-08-02T18:15:45","18","OPENJPA-1757","OpenJPA"
"","2010-08-01T21:59:53","18","OPENJPA-1756","OpenJPA"
"17","2010-07-28T14:18:38","18","OPENJPA-1749","OpenJPA"
"13","2010-07-23T20:06:07","22","OPENJPA-1746","OpenJPA"
"13,17,20","2010-07-22T01:11:03","20","OPENJPA-1743","OpenJPA"
"17","2010-07-21T22:57:15","18","OPENJPA-1742","OpenJPA"
"17,18,20","2010-07-21T18:52:14","18","OPENJPA-1738","OpenJPA"
"17","2010-07-21T12:17:23","18","OPENJPA-1737","OpenJPA"
"17","2010-07-21T10:55:59","18","OPENJPA-1736","OpenJPA"
"17,20","2010-07-16T17:48:34","18","OPENJPA-1727","OpenJPA"
"13,17,20","2010-07-14T09:24:35","21","OPENJPA-1725","OpenJPA"
"17","2010-07-12T18:02:30","18","OPENJPA-1722","OpenJPA"
"17","2010-07-07T15:03:37","18","OPENJPA-1719","OpenJPA"
"6,13,17","2010-06-30T15:29:06","18","OPENJPA-1713","OpenJPA"
"13,17,20","2010-06-21T15:26:03","18","OPENJPA-1704","OpenJPA"
"8,17","2010-06-18T01:18:20","27","OPENJPA-1702","OpenJPA"
"17","2010-06-12T02:27:48","18","OPENJPA-1696","OpenJPA"
"6,17,20","2010-06-11T21:43:25","18","OPENJPA-1695","OpenJPA"
"17,20","2010-06-10T21:59:46","20","OPENJPA-1692","OpenJPA"
"13,17,18","2010-06-10T17:31:33","22","OPENJPA-1691","OpenJPA"
"17","2010-06-09T14:30:40","18","OPENJPA-1690","OpenJPA"
"17","2010-06-09T13:37:29","18","OPENJPA-1689","OpenJPA"
"","2010-06-08T01:49:27","22","OPENJPA-1686","OpenJPA"
"17","2010-06-07T15:22:17","18","OPENJPA-1685","OpenJPA"
"","2010-06-05T17:03:15","20","OPENJPA-1683","OpenJPA"
"6,7,13,17,20","2010-06-02T16:35:27","18","OPENJPA-1678","OpenJPA"
"17,20","2010-05-31T15:44:29","18","OPENJPA-1676","OpenJPA"
"13,17","2010-05-19T15:48:53","18","OPENJPA-1670","OpenJPA"
"7,13,17","2010-05-17T18:08:44","18","OPENJPA-1668","OpenJPA"
"17","2010-05-16T11:56:06","18","OPENJPA-1667","OpenJPA"
"17","2010-05-12T16:08:24","21","OPENJPA-1665","OpenJPA"
"","2010-05-11T19:47:06","20","OPENJPA-1662","OpenJPA"
"","2010-05-10T15:45:45","21","OPENJPA-1657","OpenJPA"
"","2010-05-04T21:19","20","OPENJPA-1648","OpenJPA"
"13,17","2010-05-03T15:46:27","18","OPENJPA-1646","OpenJPA"
"13,17","2010-04-30T10:48:18","24","OPENJPA-1644","OpenJPA"
"","2010-04-27T16:20:37","18","OPENJPA-1641","OpenJPA"
"17,20","2010-04-19T15:24:16","18","OPENJPA-1634","OpenJPA"
"13,16","2010-04-13T19:48:10","17","OPENJPA-1631","OpenJPA"
"13,16,17,18,20","2010-04-13T19:33:41","17","OPENJPA-1630","OpenJPA"
"16","2010-04-12T10:21:13","20","OPENJPA-1627","OpenJPA"
"6","2010-04-12T03:09:16","18","OPENJPA-1626","OpenJPA"
"16","2010-04-08T16:41:26","17","OPENJPA-1618","OpenJPA"
"15,16","2010-04-06T23:28:33","20","OPENJPA-1613","OpenJPA"
"16","2010-03-31T15:51:46","17","OPENJPA-1605","OpenJPA"
"15,16,17","2010-03-25T03:13:04","17","OPENJPA-1599","OpenJPA"
"16","2010-03-24T15:04:41","17","OPENJPA-1597","OpenJPA"
"15","2010-03-23T18:39:47","16","OPENJPA-1596","OpenJPA"
"","2010-03-18T16:55:14","24","OPENJPA-1583","OpenJPA"
"","2010-03-18T14:29:48","16","OPENJPA-1581","OpenJPA"
"15","2010-03-17T16:35:18","16","OPENJPA-1580","OpenJPA"
"15","2010-03-16T14:29","16","OPENJPA-1578","OpenJPA"
"15","2010-03-16T09:54:07","16","OPENJPA-1577","OpenJPA"
"15","2010-03-15T20:07:26","16","OPENJPA-1575","OpenJPA"
"15","2010-03-15T14:27:27","16","OPENJPA-1573","OpenJPA"
"15","2010-03-13T14:12:21","16","OPENJPA-1570","OpenJPA"
"13,15","2010-03-13T04:30:43","24","OPENJPA-1569","OpenJPA"
"9,11,12,14,15","2010-03-11T22:51:41","16","OPENJPA-1565","OpenJPA"
"15","2010-03-11T17:52:56","16","OPENJPA-1562","OpenJPA"
"15","2010-03-09T18:20:13","16","OPENJPA-1556","OpenJPA"
"13,15","2010-03-05T03:32:48","16","OPENJPA-1550","OpenJPA"
